,Course Name,State,County,City,Street,Zip Code,Website,Email,Phone,Green Fees Weekend,Green Fees Weekday,Year Built,Annual Rounds,Manager,Club Pro,Superintendant,Guest Policy,Holes
0,Tartan Pines Golf Club,AL,Coffee,Enterprise,423 Tartan Way,36330-2315,http://www.tartanpines.com,webmaster@tartanpines.com,334-393-8000,$35.00,$28.00,2000,"30,000 (estimated)",Tommy Solomon,Tommy Solomon,Brian Aaron,Open,18
1,Arrowhead Country Club,AL,Montgomery,Montgomery,50 Ocala Dr,36117-4139,http://www.arrowheadcountryclub.net,rick@arrowheadcountryclub.net,334-272-7188,$30.00,$30.00,1974,"30,000 (estimated)",Rod Dyer,Rod Dyer,Carl Edmonson,Reciprocal,18
2,Cypress Marsh Course at Peninsula Golf & Racquet Club,AL,Baldwin,Gulf Shores,20 Peninsula Blvd,36547-,http://www.thepeninsula.com,peninsul@gulftel.com,334-968-8009,$82.00,$82.00,1998,"38,000 (estimated)",Grant Brown,Chris Wilkinson,Scott Clark,Open,27
3,Lakewinds Golf Course,AL,Tallapoosa,Alexander City,95 County Rd 40,35010-3142,,,256-825-9860,$10.00,$10.00,1966,"30,000 (estimated)",Bobby Cleveland,N/A,Randy Tate,Open,18
4,Cherokee Ridge Country Club,AL,Marshall,Union Grove,4000 Cherokee Ridge Dr,35175-7943,http://www.cherokeeridge.com,info@cherokeeridge.com,256-498-5300,$55.00,$45.00,1989,"25,000 (estimated)",Jim Lorah,Joel Gafford,Jay Wagner,Reciprocal,18
5,Albertville Golf & Country Club,AL,Marshall,Albertville,Country Club Rd,35950-,,,256-878-4403,$20.00,$20.00,1966,N/A,Board of Directors,Board of Directors,Joe Baty,Closed,18
6,Willow Brook Golf Course,AL,Marshall,Albertville,134 Par Dr,35951-6165,,ncagle@charter.net,256-878-6766,$20.00,$15.00,1998,N/A,Joe Cagle,N/A,Chris Hall,Open,18
7,Willow Point Country Club,AL,Tallapoosa,Alexander City,3054 Willow Point Rd,35010-,http://www.russelllands.com/willowpoint/index.asp,info@russelllands.com,256-212-1407,$101.00,$101.00,1961,"25,000 (estimated)",Steve Lyle,Steve Lyle,Cole McInnis,Closed,18
8,Alpine Bay Golf Club,AL,Talladega,Alpine,9855 Renfroe Rd,35014-6711,,,256-268-2920,$34.00,$25.00,1972,"30,000 (estimated)",Jim Hanna,Shawn Reider,"Donald ""Buck"" Rutherford",Open,18
9,Whipporwhill Golf Course,AL,Etowah,Altoona,2920 County Hwy 14,35952-6306,,,205-466-7003,$18.00,$13.00,1999,N/A,Terry Williams,Terry Williams,Otis Williams,Open,18
10,Andalusia Country Club,AL,Covington,Andalusia,210 Country Club Dr,36420-4204,,,334-222-5282,$29.00,$29.00,1927,"18,000 (estimated)",Gina Stokes,Howard Battey,Lance Wood,Reciprocal,18
11,Evans Barnes Golf Course,AL,Covington,Andalusia,Hwy 84 At Lbw College,36420-,,,334-222-8400,$9.00,$9.00,1977,N/A,Bill Catrett,Bill Catrett,Mike Kelley,Open,9
12,Anderson Creek Golf Course,AL,Lauderdale,Anderson,2831 County Rd 156,35610-,,,256-247-5913,$14.00,$14.00,1992,N/A,Mike Ingrum,Cindy Mosley,Mike Ingrum,Open,18
13,Anniston Country Club,AL,Calhoun,Anniston,601 Highland Ave,36207-5856,,,256-237-4615,$25.00,$20.00,1909,N/A,Larry Breweur,Kevin Burton,Eddie Martin,Closed,18
14,Anniston Municipal Golf Course,AL,Calhoun,Anniston,1341 Johnston Dr,36207-4090,,,256-231-7631,$10.00,$8.00,1934,"10,000 (estimated)",Robert Moore,Robert Moore,Geoff Lyons,Open,9
15,Indian Oaks Golf Club,AL,Calhoun,Anniston,201 Cherokee Trl,36206-1015,,tmason4616@aol.com,256-820-4030,$29.00,$27.00,1976,"22,000 (estimated)",Terry Mason,Terry Mason,Jere Mason Jr.,Open,18
16,Pine Hill Country Club,AL,Calhoun,Anniston,175 Pine Hill Dr,36207-8047,,,256-237-2633,$31.00,$29.00,1962,N/A,Pat Davis,Pat Davis,David Robinson,Open,18
17,Brookside Golf Course,AL,Marshall,Arab,1620 Country Club Dr,35016-,,,256-586-5765,$25.00,$20.00,1967,N/A,Roger Ralph,N/A,Roger Ralph,Open,18
18,Twin Lakes Golf Club,AL,Marshall,Arab,211 Golfview Dr Ne,35016-,,,256-586-3269,$24.00,$22.00,1963,"23,000 (estimated)",Eddy Deaton,N/A,David Thurman,Open,18
